id,sample_token,error_m,used_field
1531281439800013-30e55a3ec6184d8cb1944b39ba19d622,30e55a3ec6184d8cb1944b39ba19d622,5.08005514475854,distance_m
1531281440299931-cc18fde20db74d30825b0b60ec511b7b,cc18fde20db74d30825b0b60ec511b7b,85.38808464885484,distance_m
1531281440800341-08e76760a8c64a92a86686baf68f6aff,08e76760a8c64a92a86686baf68f6aff,6.472227738003439,distance_m
1531281441300213-2140329a6990437aa46b83c30f49cf49,2140329a6990437aa46b83c30f49cf49,78.651923053413,distance_m
1531281441800080-01a7d01c014f406f87b8fe11976c3d0a,01a7d01c014f406f87b8fe11976c3d0a,80.75038699597668,distance_m
1531281442299946-a2fada921a7d4141877f4a51328a21af,a2fada921a7d4141877f4a51328a21af,86.17206623958833,distance_m
1531281442899890-b06a815164ec466f9fdb525522bb3799,b06a815164ec466f9fdb525522bb3799,91.83749234381348,distance_m
1531281443400341-5bd85334fdf94fb99c7eaa45d5feba0d,5bd85334fdf94fb99c7eaa45d5feba0d,78.9976265466248,distance_m
1531281443900217-61f89208546a4045af336659ebe8db05,61f89208546a4045af336659ebe8db05,24.751262594057703,distance_m
1531281444400092-3bf56ebb22b741339967a95a9fbe2081,3bf56ebb22b741339967a95a9fbe2081,93.36286735099775,distance_m
1531281444899950-296fcfbf2e29489699f1cb5631f38ff5,296fcfbf2e29489699f1cb5631f38ff5,152.5946427631062,distance_m
1531281445399270-f7d75d25c86941f3aecfed9efea1a3e3,f7d75d25c86941f3aecfed9efea1a3e3,97.86534115814445,distance_m
1531281445899707-1dfecb8189f54b999f4e47ddaa677fd0,1dfecb8189f54b999f4e47ddaa677fd0,136.387774378791,distance_m
1531281446448802-830ba619959e4802a955ac40c5ee9453,830ba619959e4802a955ac40c5ee9453,120.95712050144051,distance_m
1531281446948669-dc2b67cdadca4deb89d7d684f2894292,dc2b67cdadca4deb89d7d684f2894292,58.941708492374055,distance_m
1531281447447993-e1dffaba060040cfab07dec04790fbfa,e1dffaba060040cfab07dec04790fbfa,75.65133838868947,distance_m
1531281447947865-be28204a6a5a42ed9939d95ec3f22f5f,be28204a6a5a42ed9939d95ec3f22f5f,6.925501579694405,distance_m
1531281448397977-77c3d98fab3e4d3ea65747caaa74d605,77c3d98fab3e4d3ea65747caaa74d605,5.289815438391768,distance_m
1531281448898402-5224809ffef94a6e83454ad3930d3533,5224809ffef94a6e83454ad3930d3533,116.94282791176208,distance_m
1531281449449207-3c18f85f037744b6ae4c8a6f8dc578c2,3c18f85f037744b6ae4c8a6f8dc578c2,62.2625489359374,distance_m
1531281449949036-08d95280dd2f42d98a4a6e33dff8e815,08d95280dd2f42d98a4a6e33dff8e815,63.856283950759305,distance_m
1531281450448906-f38aedc5545643d5be815165c6574186,f38aedc5545643d5be815165c6574186,3.5250008364974916,distance_m
1531281450949347-56f30b8972084492bbe742d423fc00ff,56f30b8972084492bbe742d423fc00ff,6.776953636257308,distance_m
1531281451449214-d536032be01140afb6faa25b33de5487,d536032be01140afb6faa25b33de5487,14.547336525976155,distance_m
1531281451949111-4094ae4656fb4b8fb1906192b24a34cb,4094ae4656fb4b8fb1906192b24a34cb,80.72561551329292,distance_m
1531281452448962-df25b3ecaf994001ab5d5b92b9de89fd,df25b3ecaf994001ab5d5b92b9de89fd,0.19755504898885853,distance_m
1531281452949395-27f42a55215f4223a01afa79fcda72e6,27f42a55215f4223a01afa79fcda72e6,23.251344047172843,distance_m
1531281453399502-f3c9f3e85f384381bfced8c2a863376f,f3c9f3e85f384381bfced8c2a863376f,0.9661590977591109,distance_m
1531281453899931-9c0558316d134feb8835997f8df4444d,9c0558316d134feb8835997f8df4444d,0.6019984711710454,distance_m
1531281454400401-755ef1d006e94b2a87523000781a7a99,755ef1d006e94b2a87523000781a7a99,0.7188779643643878,distance_m
1531281454900814-4f9ad42bb4a24970b770ba0a87baf47a,4f9ad42bb4a24970b770ba0a87baf47a,2.871626528279352,distance_m
